Precision00;Press the Attack
Precision01;Lethal Tempo
Precision02;Fleet Footwork
Precision03;Conqueror
Precision10;Overheal
Precision11;Triumph
Precision12;Prescence of Mind
Precision20;Legend: Alacrity
Precision21;Legend: Tenacity
Precision22;Legend: Bloodline
Precision30;Coup de Grace
Precision31;Cut Down
Precision32;Last Stand
Domination00;Electrocute
Domination01;Predator
Domination02;Dark Harvest
Domination03;Hail of Blades
Domination10;Cheap Shot
Domination11;Taste of Blood
Domination12;Sudden Impact
Domination20;Zombie Ward
Domination21;Ghost Poro
Domination22;Eyeball Collection
Domination30;Treasure Hunter
Domination31;Ingenious Hunter
Domination32;Relentless Hunter
Domination33;Ultimate Hunter
Sorcery00;Summon Aery
Sorcery01;Arcane Comet
Sorcery02;Phase Rush
Sorcery10;Nullifying Orb
Sorcery11;Manaflow Band
Sorcery12;Nimbus Cloak
Sorcery20;Transcendence
Sorcery21;Celerity
Sorcery22;Absolute Focus
Sorcery30;Scorch
Sorcery31;Waterwalking
Sorcery32;Gathering Storm
Resolve00;Grasp of the Undying
Resolve01;Aftershock
Resolve02;Guardian
Resolve10;Demolish
Resolve11;Font of Life
Resolve12;Shield Bash
Resolve20;Conditioning
Resolve21;Second Wind
Resolve22;Bone Plating
Resolve30;Overgrowth
Resolve31;Revitalize
Resolve32;Unflinching
Inspiration00;Glacial Augment
Inspiration01;Unsealed Spellbook
Inspiration02;First Strike
Inspiration10;Hextech Flashtraption
Inspiration11;Magical Footwear
Inspiration12;Perfect Timing
Inspiration20;Future's Market
Inspiration21;Minion Dematerializer
Inspiration22;Biscuit Delivery
Inspiration30;Cosmic Insight
Inspiration31;Approach Velocity
Inspiration32;Time Warp Tonic
60;+9 Adaptive Force
61;+10% Attack Speed
62;+8 Ability Haste
70;+9 Adaptive Force
71;+6 Armor
72;+8 Magic Resist
80;+15-140 Health(based on level)
81;+6 Armor
82;+8 Magic Resist
